[ T - T r a c k ]
    title = Track Detection using [T-track] tally
     mesh =  reg            # mesh type is region-wise
      reg = 100
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-06  # minimum value of e-mesh points
     emax =   100.0000      # maximum value of e-mesh points
#    edel =  9.2103404E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-06  1.09648E-06  1.20226E-06  1.31826E-06  1.44544E-06
#           1.58489E-06  1.73780E-06  1.90546E-06  2.08930E-06  2.29087E-06
#           2.51189E-06  2.75423E-06  3.01995E-06  3.31131E-06  3.63078E-06
#           3.98107E-06  4.36516E-06  4.78630E-06  5.24807E-06  5.75440E-06
#           6.30957E-06  6.91831E-06  7.58578E-06  8.31764E-06  9.12011E-06
#           1.00000E-05  1.09648E-05  1.20226E-05  1.31826E-05  1.44544E-05
#           1.58489E-05  1.73780E-05  1.90546E-05  2.08930E-05  2.29087E-05
#           2.51189E-05  2.75423E-05  3.01995E-05  3.31131E-05  3.63078E-05
#           3.98107E-05  4.36516E-05  4.78630E-05  5.24807E-05  5.75440E-05
#           6.30957E-05  6.91831E-05  7.58578E-05  8.31764E-05  9.12011E-05
#           1.00000E-04  1.09648E-04  1.20226E-04  1.31826E-04  1.44544E-04
#           1.58489E-04  1.73780E-04  1.90546E-04  2.08930E-04  2.29087E-04
#           2.51189E-04  2.75423E-04  3.01995E-04  3.31131E-04  3.63078E-04
#           3.98107E-04  4.36516E-04  4.78630E-04  5.24807E-04  5.75440E-04
#           6.30957E-04  6.91831E-04  7.58578E-04  8.31764E-04  9.12011E-04
#           1.00000E-03  1.09648E-03  1.20226E-03  1.31826E-03  1.44544E-03
#           1.58489E-03  1.73780E-03  1.90546E-03  2.08930E-03  2.29087E-03
#           2.51189E-03  2.75423E-03  3.01995E-03  3.31131E-03  3.63078E-03
#           3.98107E-03  4.36516E-03  4.78630E-03  5.24807E-03  5.75440E-03
#           6.30957E-03  6.91831E-03  7.58578E-03  8.31764E-03  9.12011E-03
#           1.00000E-02  1.09648E-02  1.20226E-02  1.31826E-02  1.44544E-02
#           1.58489E-02  1.73780E-02  1.90546E-02  2.08930E-02  2.29087E-02
#           2.51189E-02  2.75423E-02  3.01995E-02  3.31131E-02  3.63078E-02
#           3.98107E-02  4.36516E-02  4.78630E-02  5.24807E-02  5.75440E-02
#           6.30957E-02  6.91831E-02  7.58578E-02  8.31764E-02  9.12011E-02
#           1.00000E-01  1.09648E-01  1.20226E-01  1.31826E-01  1.44544E-01
#           1.58489E-01  1.73780E-01  1.90546E-01  2.08930E-01  2.29087E-01
#           2.51189E-01  2.75423E-01  3.01995E-01  3.31131E-01  3.63078E-01
#           3.98107E-01  4.36516E-01  4.78630E-01  5.24807E-01  5.75440E-01
#           6.30957E-01  6.91831E-01  7.58578E-01  8.31764E-01  9.12011E-01
#           1.00000E+00  1.09648E+00  1.20226E+00  1.31826E+00  1.44544E+00
#           1.58489E+00  1.73780E+00  1.90546E+00  2.08930E+00  2.29087E+00
#           2.51189E+00  2.75423E+00  3.01995E+00  3.31131E+00  3.63078E+00
#           3.98107E+00  4.36516E+00  4.78630E+00  5.24807E+00  5.75440E+00
#           6.30957E+00  6.91831E+00  7.58578E+00  8.31764E+00  9.12011E+00
#           1.00000E+01  1.09648E+01  1.20226E+01  1.31826E+01  1.44544E+01
#           1.58489E+01  1.73780E+01  1.90546E+01  2.08930E+01  2.29087E+01
#           2.51189E+01  2.75423E+01  3.01995E+01  3.31131E+01  3.63078E+01
#           3.98107E+01  4.36516E+01  4.78630E+01  5.24807E+01  5.75440E+01
#           6.30957E+01  6.91831E+01  7.58578E+01  8.31764E+01  9.12011E+01
#           1.00000E+02
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = track_eng.out   # file name of output for the above axis
     part =  neutron    photon   
# kf/name :  2112       22       
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         207 (  0)           0 (  0)         207 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    100

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n y(photon  ),hh0dr  n 
#  e-lower      e-upper      neutron     r.err    photon      r.err 
   1.0000E-06   1.0965E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E-06   1.2023E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-06   1.3183E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-06   1.4454E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E-06   1.5849E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-06   1.7378E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-06   1.9055E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E-06   2.0893E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E-06   2.2909E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-06   2.5119E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-06   2.7542E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-06   3.0200E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-06   3.3113E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-06   3.6308E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E-06   3.9811E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-06   4.3652E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-06   4.7863E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-06   5.2481E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-06   5.7544E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-06   6.3096E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-06   6.9183E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-06   7.5858E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E-06   8.3176E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-06   9.1201E-06   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-06   1.0000E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-05   1.0965E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E-05   1.2023E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-05   1.3183E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-05   1.4454E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E-05   1.5849E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-05   1.7378E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-05   1.9055E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E-05   2.0893E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E-05   2.2909E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-05   2.5119E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-05   2.7542E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-05   3.0200E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-05   3.3113E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-05   3.6308E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E-05   3.9811E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-05   4.3652E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-05   4.7863E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-05   5.2481E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-05   5.7544E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-05   6.3096E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-05   6.9183E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-05   7.5858E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E-05   8.3176E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-05   9.1201E-05   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-05   1.0000E-04   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-04   1.0965E-04   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E-04   1.2023E-04   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-04   1.3183E-04   0.0000E+00  0.0000   0.0000E+00  0.0000
