[ T - Deposit ]
    title = Energy Deposition in silicon (all)
     mesh =  reg            # mesh type is region-wise
      reg = 103
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   1.000000      # maximum value of e-mesh points
#    edel =  4.9999500E-03  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  5.00995E-03  1.00099E-02  1.50099E-02  2.00098E-02
#           2.50098E-02  3.00097E-02  3.50097E-02  4.00096E-02  4.50096E-02
#           5.00095E-02  5.50095E-02  6.00094E-02  6.50094E-02  7.00093E-02
#           7.50092E-02  8.00092E-02  8.50092E-02  9.00091E-02  9.50090E-02
#           1.00009E-01  1.05009E-01  1.10009E-01  1.15009E-01  1.20009E-01
#           1.25009E-01  1.30009E-01  1.35009E-01  1.40009E-01  1.45009E-01
#           1.50009E-01  1.55008E-01  1.60008E-01  1.65008E-01  1.70008E-01
#           1.75008E-01  1.80008E-01  1.85008E-01  1.90008E-01  1.95008E-01
#           2.00008E-01  2.05008E-01  2.10008E-01  2.15008E-01  2.20008E-01
#           2.25008E-01  2.30008E-01  2.35008E-01  2.40008E-01  2.45008E-01
#           2.50007E-01  2.55007E-01  2.60007E-01  2.65007E-01  2.70007E-01
#           2.75007E-01  2.80007E-01  2.85007E-01  2.90007E-01  2.95007E-01
#           3.00007E-01  3.05007E-01  3.10007E-01  3.15007E-01  3.20007E-01
#           3.25007E-01  3.30007E-01  3.35007E-01  3.40007E-01  3.45007E-01
#           3.50007E-01  3.55006E-01  3.60006E-01  3.65006E-01  3.70006E-01
#           3.75006E-01  3.80006E-01  3.85006E-01  3.90006E-01  3.95006E-01
#           4.00006E-01  4.05006E-01  4.10006E-01  4.15006E-01  4.20006E-01
#           4.25006E-01  4.30006E-01  4.35006E-01  4.40006E-01  4.45006E-01
#           4.50006E-01  4.55005E-01  4.60005E-01  4.65005E-01  4.70005E-01
#           4.75005E-01  4.80005E-01  4.85005E-01  4.90005E-01  4.95005E-01
#           5.00005E-01  5.05005E-01  5.10005E-01  5.15005E-01  5.20005E-01
#           5.25005E-01  5.30005E-01  5.35005E-01  5.40005E-01  5.45005E-01
#           5.50005E-01  5.55004E-01  5.60004E-01  5.65004E-01  5.70004E-01
#           5.75004E-01  5.80004E-01  5.85004E-01  5.90004E-01  5.95004E-01
#           6.00004E-01  6.05004E-01  6.10004E-01  6.15004E-01  6.20004E-01
#           6.25004E-01  6.30004E-01  6.35004E-01  6.40004E-01  6.45004E-01
#           6.50003E-01  6.55003E-01  6.60003E-01  6.65003E-01  6.70003E-01
#           6.75003E-01  6.80003E-01  6.85003E-01  6.90003E-01  6.95003E-01
#           7.00003E-01  7.05003E-01  7.10003E-01  7.15003E-01  7.20003E-01
#           7.25003E-01  7.30003E-01  7.35003E-01  7.40003E-01  7.45003E-01
#           7.50003E-01  7.55002E-01  7.60002E-01  7.65002E-01  7.70002E-01
#           7.75002E-01  7.80002E-01  7.85002E-01  7.90002E-01  7.95002E-01
#           8.00002E-01  8.05002E-01  8.10002E-01  8.15002E-01  8.20002E-01
#           8.25002E-01  8.30002E-01  8.35002E-01  8.40002E-01  8.45002E-01
#           8.50002E-01  8.55001E-01  8.60001E-01  8.65001E-01  8.70001E-01
#           8.75001E-01  8.80001E-01  8.85001E-01  8.90001E-01  8.95001E-01
#           9.00001E-01  9.05001E-01  9.10001E-01  9.15001E-01  9.20001E-01
#           9.25001E-01  9.30001E-01  9.35001E-01  9.40001E-01  9.45001E-01
#           9.50001E-01  9.55000E-01  9.60000E-01  9.65000E-01  9.70000E-01
#           9.75000E-01  9.80000E-01  9.85000E-01  9.90000E-01  9.95000E-01
#           1.00000E+00
     axis =   eng           # axis of output
     file = deposit_Si.out  # file name of output for the above axis
     part =  28Si       25Mg       electron   positron   alpha      all      
# kf/name :  14000028   12000025   11         -11        2000004    0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    103

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(28Si    ),hh0l   n y(25Mg    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(alpha   ),hh0qrr n y(all     ),hh0vbb n 
#  e-lower      e-upper      28Si        r.err    25Mg        r.err    electron    r.err    positron    r.err    alpha       r.err    all         r.err 
   1.0000E-05   5.0099E-03   1.2453E-05  0.0409   0.0000E+00  0.0000   9.9789E-07  0.1443   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3451E-05  0.0393
   5.0099E-03   1.0010E-02   1.2744E-05  0.0404   0.0000E+00  0.0000   8.4017E-07  0.1568   1.2188E-08  1.0000   0.0000E+00  0.0000   1.3596E-05  0.0391
   1.0010E-02   1.5010E-02   9.6255E-06  0.0465   0.0000E+00  0.0000   9.5038E-07  0.1476   5.9246E-09  1.0000   0.0000E+00  0.0000   1.0582E-05  0.0443
   1.5010E-02   2.0010E-02   7.7544E-06  0.0518   0.0000E+00  0.0000   5.6131E-07  0.1925   0.0000E+00  0.0000   0.0000E+00  0.0000   8.3157E-06  0.0500
   2.0010E-02   2.5010E-02   8.0247E-06  0.0509   0.0000E+00  0.0000   5.6131E-07  0.1925   0.0000E+00  0.0000   0.0000E+00  0.0000   8.5860E-06  0.0492
   2.5010E-02   3.0010E-02   6.4239E-06  0.0569   0.0000E+00  0.0000   5.6131E-07  0.1925   0.0000E+00  0.0000   0.0000E+00  0.0000   7.0060E-06  0.0545
   3.0010E-02   3.5010E-02   5.0934E-06  0.0639   0.0000E+00  0.0000   4.7815E-07  0.2085   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5923E-06  0.0610
   3.5010E-02   4.0010E-02   5.1142E-06  0.0638   0.0000E+00  0.0000   4.1579E-07  0.2236   0.0000E+00  0.0000   0.0000E+00  0.0000   5.5300E-06  0.0613
   4.0010E-02   4.5010E-02   3.9708E-06  0.0724   0.0000E+00  0.0000   4.2517E-07  0.2198   1.1401E-08  1.0000   0.0000E+00  0.0000   4.4073E-06  0.0687
   4.5010E-02   5.0010E-02   3.2223E-06  0.0803   0.0000E+00  0.0000   4.5736E-07  0.2132   2.0789E-08  1.0000   0.0000E+00  0.0000   3.7005E-06  0.0750
   5.0010E-02   5.5009E-02   2.6818E-06  0.0880   0.0000E+00  0.0000   1.6631E-07  0.3536   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8481E-06  0.0854
   5.5009E-02   6.0009E-02   2.7026E-06  0.0877   0.0000E+00  0.0000   4.1579E-07  0.2236   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1184E-06  0.0816
   6.0009E-02   6.5009E-02   2.3492E-06  0.0941   0.0000E+00  0.0000   8.3157E-07  0.1581   6.2368E-08  0.5774   0.0000E+00  0.0000   3.2639E-06  0.0798
   6.5009E-02   7.0009E-02   2.4739E-06  0.0917   0.0000E+00  0.0000   1.6631E-06  0.1118   2.0789E-08  1.0000   0.0000E+00  0.0000   4.1579E-06  0.0707
   7.0009E-02   7.5009E-02   2.1829E-06  0.0976   0.0000E+00  0.0000   1.0810E-06  0.1387   2.0789E-08  1.0000   0.0000E+00  0.0000   3.2847E-06  0.0796
   7.5009E-02   8.0009E-02   1.7463E-06  0.1091   0.0000E+00  0.0000   1.1349E-06  0.1350   5.0055E-08  0.6113   0.0000E+00  0.0000   2.9313E-06  0.0842
   8.0009E-02   8.5009E-02   1.4345E-06  0.1204   0.0000E+00  0.0000   9.5631E-07  0.1474   4.1579E-08  0.7071   0.0000E+00  0.0000   2.4323E-06  0.0925
   8.5009E-02   9.0009E-02   1.7463E-06  0.1091   0.0000E+00  0.0000   1.0187E-06  0.1429   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7650E-06  0.0867
   9.0009E-02   9.5009E-02   1.4760E-06  0.1187   0.0000E+00  0.0000   7.8999E-07  0.1622   4.1579E-08  0.7071   0.0000E+00  0.0000   2.3076E-06  0.0949
   9.5009E-02   1.0001E-01   1.3305E-06  0.1250   0.0000E+00  0.0000   8.3157E-07  0.1581   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1621E-06  0.0981
   1.0001E-01   1.0501E-01   1.4345E-06  0.1204   0.0000E+00  0.0000   5.1973E-07  0.2000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9542E-06  0.1031
   1.0501E-01   1.1001E-01   1.3513E-06  0.1240   0.0000E+00  0.0000   3.7421E-07  0.2357   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7255E-06  0.1098
   1.1001E-01   1.1501E-01   1.0810E-06  0.1387   0.0000E+00  0.0000   4.9894E-07  0.2041   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5800E-06  0.1147
   1.1501E-01   1.2001E-01   1.0395E-06  0.1414   0.0000E+00  0.0000   4.3658E-07  0.2182   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4760E-06  0.1187
   1.2001E-01   1.2501E-01   1.0187E-06  0.1429   0.0000E+00  0.0000   3.7421E-07  0.2357   2.0789E-08  1.0000   0.0000E+00  0.0000   1.4137E-06  0.1213
