[ T - T r a c k ]
    title = Particle flux by regions
     mesh =  reg            # mesh type is region-wise
      reg = { 101 - 103 }
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   10.00000      # maximum value of e-mesh points
#    edel =  6.9077553E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  1.07152E-05  1.14815E-05  1.23027E-05  1.31826E-05
#           1.41254E-05  1.51356E-05  1.62181E-05  1.73780E-05  1.86209E-05
#           1.99526E-05  2.13796E-05  2.29087E-05  2.45471E-05  2.63027E-05
#           2.81838E-05  3.01995E-05  3.23594E-05  3.46737E-05  3.71535E-05
#           3.98107E-05  4.26580E-05  4.57088E-05  4.89779E-05  5.24807E-05
#           5.62341E-05  6.02560E-05  6.45654E-05  6.91831E-05  7.41310E-05
#           7.94328E-05  8.51138E-05  9.12011E-05  9.77237E-05  1.04713E-04
#           1.12202E-04  1.20226E-04  1.28825E-04  1.38038E-04  1.47911E-04
#           1.58489E-04  1.69824E-04  1.81970E-04  1.94984E-04  2.08930E-04
#           2.23872E-04  2.39883E-04  2.57040E-04  2.75423E-04  2.95121E-04
#           3.16228E-04  3.38844E-04  3.63078E-04  3.89045E-04  4.16869E-04
#           4.46684E-04  4.78630E-04  5.12861E-04  5.49541E-04  5.88844E-04
#           6.30957E-04  6.76083E-04  7.24436E-04  7.76247E-04  8.31764E-04
#           8.91251E-04  9.54993E-04  1.02329E-03  1.09648E-03  1.17490E-03
#           1.25893E-03  1.34896E-03  1.44544E-03  1.54882E-03  1.65959E-03
#           1.77828E-03  1.90546E-03  2.04174E-03  2.18776E-03  2.34423E-03
#           2.51189E-03  2.69153E-03  2.88403E-03  3.09030E-03  3.31131E-03
#           3.54813E-03  3.80189E-03  4.07380E-03  4.36516E-03  4.67735E-03
#           5.01187E-03  5.37032E-03  5.75440E-03  6.16595E-03  6.60693E-03
#           7.07946E-03  7.58578E-03  8.12831E-03  8.70964E-03  9.33254E-03
#           1.00000E-02  1.07152E-02  1.14815E-02  1.23027E-02  1.31826E-02
#           1.41254E-02  1.51356E-02  1.62181E-02  1.73780E-02  1.86209E-02
#           1.99526E-02  2.13796E-02  2.29087E-02  2.45471E-02  2.63027E-02
#           2.81838E-02  3.01995E-02  3.23594E-02  3.46737E-02  3.71535E-02
#           3.98107E-02  4.26580E-02  4.57088E-02  4.89779E-02  5.24807E-02
#           5.62341E-02  6.02560E-02  6.45654E-02  6.91831E-02  7.41310E-02
#           7.94328E-02  8.51138E-02  9.12011E-02  9.77237E-02  1.04713E-01
#           1.12202E-01  1.20226E-01  1.28825E-01  1.38038E-01  1.47911E-01
#           1.58489E-01  1.69824E-01  1.81970E-01  1.94984E-01  2.08930E-01
#           2.23872E-01  2.39883E-01  2.57040E-01  2.75423E-01  2.95121E-01
#           3.16228E-01  3.38844E-01  3.63078E-01  3.89045E-01  4.16869E-01
#           4.46684E-01  4.78630E-01  5.12861E-01  5.49541E-01  5.88844E-01
#           6.30957E-01  6.76083E-01  7.24436E-01  7.76247E-01  8.31764E-01
#           8.91251E-01  9.54993E-01  1.02329E+00  1.09648E+00  1.17490E+00
#           1.25893E+00  1.34896E+00  1.44544E+00  1.54882E+00  1.65959E+00
#           1.77828E+00  1.90546E+00  2.04174E+00  2.18776E+00  2.34423E+00
#           2.51189E+00  2.69153E+00  2.88403E+00  3.09030E+00  3.31131E+00
#           3.54813E+00  3.80189E+00  4.07380E+00  4.36516E+00  4.67735E+00
#           5.01187E+00  5.37032E+00  5.75440E+00  6.16595E+00  6.60693E+00
#           7.07946E+00  7.58578E+00  8.12831E+00  8.70964E+00  9.33254E+00
#           1.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = track_eng.out   # file name of output for the above axis
     part =  neutron    photon   
# kf/name :  2112       22       
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         209 (  0)           0 (  0)         209 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    101

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n y(photon  ),hh0dr  n 
#  e-lower      e-upper      neutron     r.err    photon      r.err 
   1.0000E-05   1.0715E-05   2.1692E-05  0.6167   0.0000E+00  0.0000
   1.0715E-05   1.1482E-05   2.2301E-05  0.3812   0.0000E+00  0.0000
   1.1482E-05   1.2303E-05   3.4484E-05  0.3541   0.0000E+00  0.0000
   1.2303E-05   1.3183E-05   2.5504E-05  0.4153   0.0000E+00  0.0000
   1.3183E-05   1.4125E-05   2.2009E-05  0.3769   0.0000E+00  0.0000
   1.4125E-05   1.5136E-05   2.9716E-05  0.4145   0.0000E+00  0.0000
   1.5136E-05   1.6218E-05   3.0321E-05  0.3403   0.0000E+00  0.0000
   1.6218E-05   1.7378E-05   3.1769E-05  0.2976   0.0000E+00  0.0000
   1.7378E-05   1.8621E-05   3.0319E-05  0.3213   0.0000E+00  0.0000
   1.8621E-05   1.9953E-05   3.4653E-05  0.3529   0.0000E+00  0.0000
   1.9953E-05   2.1380E-05   2.7101E-05  0.3149   0.0000E+00  0.0000
   2.1380E-05   2.2909E-05   3.4409E-05  0.2652   0.0000E+00  0.0000
   2.2909E-05   2.4547E-05   5.5383E-05  0.2027   0.0000E+00  0.0000
   2.4547E-05   2.6303E-05   4.6609E-05  0.1908   0.0000E+00  0.0000
   2.6303E-05   2.8184E-05   5.9852E-05  0.1812   0.0000E+00  0.0000
   2.8184E-05   3.0200E-05   4.1338E-05  0.1978   0.0000E+00  0.0000
   3.0200E-05   3.2359E-05   5.4423E-05  0.1905   0.0000E+00  0.0000
   3.2359E-05   3.4674E-05   5.4239E-05  0.1729   0.0000E+00  0.0000
   3.4674E-05   3.7154E-05   4.9478E-05  0.1774   0.0000E+00  0.0000
   3.7154E-05   3.9811E-05   5.6968E-05  0.1557   0.0000E+00  0.0000
   3.9811E-05   4.2658E-05   4.5692E-05  0.1588   0.0000E+00  0.0000
   4.2658E-05   4.5709E-05   5.1010E-05  0.1505   0.0000E+00  0.0000
   4.5709E-05   4.8978E-05   6.7724E-05  0.1319   0.0000E+00  0.0000
   4.8978E-05   5.2481E-05   7.0283E-05  0.1318   0.0000E+00  0.0000
   5.2481E-05   5.6234E-05   7.1239E-05  0.1229   0.0000E+00  0.0000
   5.6234E-05   6.0256E-05   7.1504E-05  0.1068   0.0000E+00  0.0000
   6.0256E-05   6.4565E-05   7.5861E-05  0.1111   0.0000E+00  0.0000
   6.4565E-05   6.9183E-05   7.8338E-05  0.1048   0.0000E+00  0.0000
   6.9183E-05   7.4131E-05   8.0261E-05  0.0965   0.0000E+00  0.0000
   7.4131E-05   7.9433E-05   9.0417E-05  0.0837   0.0000E+00  0.0000
   7.9433E-05   8.5114E-05   1.0742E-04  0.0787   0.0000E+00  0.0000
   8.5114E-05   9.1201E-05   1.2714E-04  0.0670   0.0000E+00  0.0000
   9.1201E-05   9.7724E-05   1.4102E-04  0.0632   0.0000E+00  0.0000
   9.7724E-05   1.0471E-04   1.3187E-04  0.0620   0.0000E+00  0.0000
   1.0471E-04   1.1220E-04   1.4574E-04  0.0573   0.0000E+00  0.0000
   1.1220E-04   1.2023E-04   1.9389E-04  0.0478   0.0000E+00  0.0000
   1.2023E-04   1.2882E-04   2.3367E-04  0.0425   0.0000E+00  0.0000
   1.2882E-04   1.3804E-04   3.2708E-04  0.0358   0.0000E+00  0.0000
   1.3804E-04   1.4791E-04   5.1427E-04  0.0277   0.0000E+00  0.0000
   1.4791E-04   1.5849E-04   1.1705E-03  0.0190   0.0000E+00  0.0000
   1.5849E-04   1.6982E-04   2.5536E-03  0.0128   0.0000E+00  0.0000
   1.6982E-04   1.8197E-04   3.0433E-03  0.0115   0.0000E+00  0.0000
   1.8197E-04   1.9498E-04   2.3965E-03  0.0123   0.0000E+00  0.0000
   1.9498E-04   2.0893E-04   8.7553E-04  0.0184   0.0000E+00  0.0000
   2.0893E-04   2.2387E-04   2.5104E-04  0.0329   0.0000E+00  0.0000
   2.2387E-04   2.3988E-04   1.2116E-04  0.0450   0.0000E+00  0.0000
   2.3988E-04   2.5704E-04   1.0422E-04  0.0462   0.0000E+00  0.0000
   2.5704E-04   2.7542E-04   1.1261E-04  0.0426   0.0000E+00  0.0000
   2.7542E-04   2.9512E-04   1.3653E-04  0.0384   0.0000E+00  0.0000
   2.9512E-04   3.1623E-04   1.1907E-04  0.0393   0.0000E+00  0.0000
   3.1623E-04   3.3884E-04   9.6670E-05  0.0428   0.0000E+00  0.0000
   3.3884E-04   3.6308E-04   9.9516E-05  0.0415   0.0000E+00  0.0000
   3.6308E-04   3.8905E-04   1.0991E-04  0.0370   0.0000E+00  0.0000
   3.8905E-04   4.1687E-04   1.1722E-04  0.0345   0.0000E+00  0.0000
   4.1687E-04   4.4668E-04   1.2210E-04  0.0335   0.0000E+00  0.0000
