[ T - Deposit ]
    title = Energy Deposition in silicon (all)
     mesh =  reg            # mesh type is region-wise
      reg = 103
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-05  # minimum value of e-mesh points
     emax =   1.000000      # maximum value of e-mesh points
#    edel =  4.9999500E-03  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-05  5.00995E-03  1.00099E-02  1.50099E-02  2.00098E-02
#           2.50098E-02  3.00097E-02  3.50097E-02  4.00096E-02  4.50096E-02
#           5.00095E-02  5.50095E-02  6.00094E-02  6.50094E-02  7.00093E-02
#           7.50092E-02  8.00092E-02  8.50092E-02  9.00091E-02  9.50090E-02
#           1.00009E-01  1.05009E-01  1.10009E-01  1.15009E-01  1.20009E-01
#           1.25009E-01  1.30009E-01  1.35009E-01  1.40009E-01  1.45009E-01
#           1.50009E-01  1.55008E-01  1.60008E-01  1.65008E-01  1.70008E-01
#           1.75008E-01  1.80008E-01  1.85008E-01  1.90008E-01  1.95008E-01
#           2.00008E-01  2.05008E-01  2.10008E-01  2.15008E-01  2.20008E-01
#           2.25008E-01  2.30008E-01  2.35008E-01  2.40008E-01  2.45008E-01
#           2.50007E-01  2.55007E-01  2.60007E-01  2.65007E-01  2.70007E-01
#           2.75007E-01  2.80007E-01  2.85007E-01  2.90007E-01  2.95007E-01
#           3.00007E-01  3.05007E-01  3.10007E-01  3.15007E-01  3.20007E-01
#           3.25007E-01  3.30007E-01  3.35007E-01  3.40007E-01  3.45007E-01
#           3.50007E-01  3.55006E-01  3.60006E-01  3.65006E-01  3.70006E-01
#           3.75006E-01  3.80006E-01  3.85006E-01  3.90006E-01  3.95006E-01
#           4.00006E-01  4.05006E-01  4.10006E-01  4.15006E-01  4.20006E-01
#           4.25006E-01  4.30006E-01  4.35006E-01  4.40006E-01  4.45006E-01
#           4.50006E-01  4.55005E-01  4.60005E-01  4.65005E-01  4.70005E-01
#           4.75005E-01  4.80005E-01  4.85005E-01  4.90005E-01  4.95005E-01
#           5.00005E-01  5.05005E-01  5.10005E-01  5.15005E-01  5.20005E-01
#           5.25005E-01  5.30005E-01  5.35005E-01  5.40005E-01  5.45005E-01
#           5.50005E-01  5.55004E-01  5.60004E-01  5.65004E-01  5.70004E-01
#           5.75004E-01  5.80004E-01  5.85004E-01  5.90004E-01  5.95004E-01
#           6.00004E-01  6.05004E-01  6.10004E-01  6.15004E-01  6.20004E-01
#           6.25004E-01  6.30004E-01  6.35004E-01  6.40004E-01  6.45004E-01
#           6.50003E-01  6.55003E-01  6.60003E-01  6.65003E-01  6.70003E-01
#           6.75003E-01  6.80003E-01  6.85003E-01  6.90003E-01  6.95003E-01
#           7.00003E-01  7.05003E-01  7.10003E-01  7.15003E-01  7.20003E-01
#           7.25003E-01  7.30003E-01  7.35003E-01  7.40003E-01  7.45003E-01
#           7.50003E-01  7.55002E-01  7.60002E-01  7.65002E-01  7.70002E-01
#           7.75002E-01  7.80002E-01  7.85002E-01  7.90002E-01  7.95002E-01
#           8.00002E-01  8.05002E-01  8.10002E-01  8.15002E-01  8.20002E-01
#           8.25002E-01  8.30002E-01  8.35002E-01  8.40002E-01  8.45002E-01
#           8.50002E-01  8.55001E-01  8.60001E-01  8.65001E-01  8.70001E-01
#           8.75001E-01  8.80001E-01  8.85001E-01  8.90001E-01  8.95001E-01
#           9.00001E-01  9.05001E-01  9.10001E-01  9.15001E-01  9.20001E-01
#           9.25001E-01  9.30001E-01  9.35001E-01  9.40001E-01  9.45001E-01
#           9.50001E-01  9.55000E-01  9.60000E-01  9.65000E-01  9.70000E-01
#           9.75000E-01  9.80000E-01  9.85000E-01  9.90000E-01  9.95000E-01
#           1.00000E+00
     axis =   eng           # axis of output
     file = deposit_Si.out  # file name of output for the above axis
     part =  28Si       25Mg       electron   positron   alpha      all      
# kf/name :  14000028   12000025   11         -11        2000004    0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    103

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(28Si    ),hh0l   n y(25Mg    ),hh0dr  n y(electron),hh0ub  n y(positron),hh0mg  n y(alpha   ),hh0qrr n y(all     ),hh0vbb n 
#  e-lower      e-upper      28Si        r.err    25Mg        r.err    electron    r.err    positron    r.err    alpha       r.err    all         r.err 
   1.0000E-05   5.0099E-03   1.0148E-03  0.0140   0.0000E+00  0.0000   6.8255E-05  0.0541   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0835E-03  0.0136
   5.0099E-03   1.0010E-02   8.0381E-04  0.0158   0.0000E+00  0.0000   7.0625E-05  0.0531   0.0000E+00  0.0000   0.0000E+00  0.0000   8.7454E-04  0.0151
   1.0010E-02   1.5010E-02   6.9371E-04  0.0170   0.0000E+00  0.0000   6.3479E-05  0.0560   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5719E-04  0.0162
   1.5010E-02   2.0010E-02   5.8494E-04  0.0185   0.0000E+00  0.0000   5.9295E-05  0.0580   0.0000E+00  0.0000   0.0000E+00  0.0000   6.4423E-04  0.0176
   2.0010E-02   2.5010E-02   5.2274E-04  0.0195   0.0000E+00  0.0000   5.6235E-05  0.0595   1.9958E-07  1.0000   0.0000E+00  0.0000   5.7917E-04  0.0186
   2.5010E-02   3.0010E-02   4.0115E-04  0.0223   0.0000E+00  0.0000   5.3888E-05  0.0607   0.0000E+00  0.0000   0.0000E+00  0.0000   4.5503E-04  0.0209
   3.0010E-02   3.5010E-02   3.1413E-04  0.0252   0.0000E+00  0.0000   4.9815E-05  0.0632   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6403E-04  0.0234
   3.5010E-02   4.0010E-02   2.6829E-04  0.0273   0.0000E+00  0.0000   4.7635E-05  0.0646   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1593E-04  0.0251
   4.0010E-02   4.5010E-02   2.1424E-04  0.0305   0.0000E+00  0.0000   4.7205E-05  0.0649   0.0000E+00  0.0000   0.0000E+00  0.0000   2.6145E-04  0.0276
   4.5010E-02   5.0010E-02   1.7671E-04  0.0336   0.0000E+00  0.0000   4.6578E-05  0.0654   0.0000E+00  0.0000   0.0000E+00  0.0000   2.2353E-04  0.0299
   5.0010E-02   5.5009E-02   1.4959E-04  0.0365   0.0000E+00  0.0000   3.7012E-05  0.0734   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8660E-04  0.0327
   5.5009E-02   6.0009E-02   1.3790E-04  0.0380   0.0000E+00  0.0000   3.6929E-05  0.0731   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7483E-04  0.0338
   6.0009E-02   6.5009E-02   1.1335E-04  0.0419   0.0000E+00  0.0000   3.4733E-05  0.0755   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4809E-04  0.0367
   6.5009E-02   7.0009E-02   1.1601E-04  0.0414   0.0000E+00  0.0000   3.2278E-05  0.0784   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4829E-04  0.0367
   7.0009E-02   7.5009E-02   9.2813E-05  0.0463   0.0000E+00  0.0000   2.8130E-05  0.0839   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2094E-04  0.0406
   7.5009E-02   8.0009E-02   8.2190E-05  0.0492   0.0000E+00  0.0000   2.9772E-05  0.0816   0.0000E+00  0.0000   0.0000E+00  0.0000   1.1196E-04  0.0422
   8.0009E-02   8.5009E-02   7.5794E-05  0.0512   0.0000E+00  0.0000   2.6190E-05  0.0869   1.9958E-07  1.0000   0.0000E+00  0.0000   1.0218E-04  0.0442
   8.5009E-02   9.0009E-02   6.6300E-05  0.0548   0.0000E+00  0.0000   2.4108E-05  0.0908   0.0000E+00  0.0000   0.0000E+00  0.0000   9.0408E-05  0.0470
   9.0009E-02   9.5009E-02   5.6347E-05  0.0595   0.0000E+00  0.0000   2.3883E-05  0.0913   0.0000E+00  0.0000   0.0000E+00  0.0000   8.0230E-05  0.0499
   9.5009E-02   1.0001E-01   5.4537E-05  0.0604   0.0000E+00  0.0000   2.4694E-05  0.0897   0.0000E+00  0.0000   0.0000E+00  0.0000   7.9232E-05  0.0502
   1.0001E-01   1.0501E-01   4.9719E-05  0.0633   0.0000E+00  0.0000   2.6011E-05  0.0872   1.0899E-07  1.0000   0.0000E+00  0.0000   7.5839E-05  0.0513
   1.0501E-01   1.1001E-01   4.8959E-05  0.0637   0.0000E+00  0.0000   2.4485E-05  0.0900   0.0000E+00  0.0000   0.0000E+00  0.0000   7.3444E-05  0.0521
   1.1001E-01   1.1501E-01   4.0999E-05  0.0697   0.0000E+00  0.0000   2.1668E-05  0.0959   0.0000E+00  0.0000   0.0000E+00  0.0000   6.2667E-05  0.0564
   1.1501E-01   1.2001E-01   2.8443E-05  0.0836   0.0000E+00  0.0000   2.0853E-05  0.0975   0.0000E+00  0.0000   0.0000E+00  0.0000   4.9295E-05  0.0636
   1.2001E-01   1.2501E-01   3.0773E-05  0.0804   0.0000E+00  0.0000   2.3512E-05  0.0919   0.0000E+00  0.0000   0.0000E+00  0.0000   5.4285E-05  0.0606
   1.2501E-01   1.3001E-01   3.2912E-05  0.0777   0.0000E+00  0.0000   2.1971E-05  0.0950   0.0000E+00  0.0000   0.0000E+00  0.0000   5.4883E-05  0.0603
   1.3001E-01   1.3501E-01   2.8056E-05  0.0840   0.0000E+00  0.0000   1.8845E-05  0.1023   0.0000E+00  0.0000   0.0000E+00  0.0000   4.6900E-05  0.0652
   1.3501E-01   1.4001E-01   1.9013E-05  0.1023   0.0000E+00  0.0000   1.8707E-05  0.1032   0.0000E+00  0.0000   0.0000E+00  0.0000   3.7720E-05  0.0727
   1.4001E-01   1.4501E-01   2.0701E-05  0.0979   0.0000E+00  0.0000   2.1466E-05  0.0961   1.4332E-07  1.0000   0.0000E+00  0.0000   4.2310E-05  0.0687
   1.4501E-01   1.5001E-01   1.7485E-05  0.1066   0.0000E+00  0.0000   1.7041E-05  0.1080   0.0000E+00  0.0000   0.0000E+00  0.0000   3.4527E-05  0.0760
   1.5001E-01   1.5501E-01   1.5671E-05  0.1126   0.0000E+00  0.0000   1.6262E-05  0.1105   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1932E-05  0.0791
   1.5501E-01   1.6001E-01   1.4140E-05  0.1184   0.0000E+00  0.0000   1.8391E-05  0.1039   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2531E-05  0.0783
   1.6001E-01   1.6501E-01   1.3366E-05  0.1220   0.0000E+00  0.0000   1.6969E-05  0.1083   0.0000E+00  0.0000   0.0000E+00  0.0000   3.0336E-05  0.0811
   1.6501E-01   1.7001E-01   1.3699E-05  0.1204   0.0000E+00  0.0000   1.1847E-05  0.1294   0.0000E+00  0.0000   0.0000E+00  0.0000   2.5546E-05  0.0884
   1.7001E-01   1.7501E-01   1.4822E-05  0.1159   0.0000E+00  0.0000   1.2427E-05  0.1263   9.3151E-08  1.0000   0.0000E+00  0.0000   2.7342E-05  0.0854
   1.7501E-01   1.8001E-01   7.7576E-06  0.1597   0.0000E+00  0.0000   1.3398E-05  0.1217   0.0000E+00  0.0000   0.0000E+00  0.0000   2.1155E-05  0.0971
