[ T - T r a c k ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = { 1 - 20 }
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-08  # minimum value of e-mesh points
     emax =   20.00000      # maximum value of e-mesh points
#    edel =  0.2141641      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-08  1.23883E-08  1.53469E-08  1.90121E-08  2.35527E-08
#           2.91777E-08  3.61461E-08  4.47788E-08  5.54731E-08  6.87215E-08
#           8.51340E-08  1.05466E-07  1.30654E-07  1.61858E-07  2.00514E-07
#           2.48402E-07  3.07726E-07  3.81219E-07  4.72265E-07  5.85054E-07
#           7.24780E-07  8.97876E-07  1.11231E-06  1.37796E-06  1.70705E-06
#           2.11474E-06  2.61980E-06  3.24547E-06  4.02058E-06  4.98080E-06
#           6.17034E-06  7.64398E-06  9.46956E-06  1.17311E-05  1.45328E-05
#           1.80036E-05  2.23034E-05  2.76300E-05  3.42288E-05  4.24035E-05
#           5.25306E-05  6.50762E-05  8.06181E-05  9.98718E-05  1.23724E-04
#           1.53272E-04  1.89878E-04  2.35225E-04  2.91403E-04  3.60998E-04
#           4.47214E-04  5.54020E-04  6.86334E-04  8.50249E-04  1.05331E-03
#           1.30487E-03  1.61650E-03  2.00257E-03  2.48083E-03  3.07332E-03
#           3.80731E-03  4.71659E-03  5.84304E-03  7.23851E-03  8.96725E-03
#           1.11089E-02  1.37619E-02  1.70487E-02  2.11203E-02  2.61644E-02
#           3.24131E-02  4.01542E-02  4.97441E-02  6.16243E-02  7.63418E-02
#           9.45742E-02  1.17161E-01  1.45142E-01  1.79806E-01  2.22748E-01
#           2.75946E-01  3.41849E-01  4.23491E-01  5.24632E-01  6.49928E-01
#           8.05148E-01  9.97438E-01  1.23565E+00  1.53076E+00  1.89634E+00
#           2.34924E+00  2.91030E+00  3.60535E+00  4.46640E+00  5.53310E+00
#           6.85454E+00  8.49159E+00  1.05196E+01  1.30319E+01  1.61443E+01
#           2.00000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = weight-energy.out  # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         125 (  0)           0 (  0)         125 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =      1

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l   n 
#  e-lower      e-upper      neutron     r.err 
   1.0000E-08   1.2388E-08   3.0745E-06  0.0129
   1.2388E-08   1.5347E-08   4.2204E-06  0.0118
   1.5347E-08   1.9012E-08   5.5808E-06  0.0108
   1.9012E-08   2.3553E-08   7.3547E-06  0.0096
   2.3553E-08   2.9178E-08   9.4176E-06  0.0103
   2.9178E-08   3.6146E-08   1.1285E-05  0.0096
   3.6146E-08   4.4779E-08   1.2827E-05  0.0090
   4.4779E-08   5.5473E-08   1.3695E-05  0.0098
   5.5473E-08   6.8722E-08   1.3482E-05  0.0102
   6.8722E-08   8.5134E-08   1.2023E-05  0.0094
   8.5134E-08   1.0547E-07   9.5928E-06  0.0096
   1.0547E-07   1.3065E-07   6.8878E-06  0.0108
   1.3065E-07   1.6186E-07   4.5923E-06  0.0118
   1.6186E-07   2.0051E-07   2.9849E-06  0.0140
   2.0051E-07   2.4840E-07   2.2093E-06  0.0167
   2.4840E-07   3.0773E-07   1.9254E-06  0.0173
   3.0773E-07   3.8122E-07   1.8126E-06  0.0163
   3.8122E-07   4.7226E-07   1.7029E-06  0.0179
   4.7226E-07   5.8505E-07   1.6531E-06  0.0171
   5.8505E-07   7.2478E-07   1.7279E-06  0.0167
   7.2478E-07   8.9788E-07   1.7186E-06  0.0169
   8.9788E-07   1.1123E-06   1.7224E-06  0.0175
   1.1123E-06   1.3780E-06   1.6827E-06  0.0176
   1.3780E-06   1.7071E-06   1.7342E-06  0.0185
   1.7071E-06   2.1147E-06   1.7339E-06  0.0172
   2.1147E-06   2.6198E-06   1.7343E-06  0.0170
   2.6198E-06   3.2455E-06   1.8169E-06  0.0175
   3.2455E-06   4.0206E-06   1.8237E-06  0.0181
   4.0206E-06   4.9808E-06   1.8133E-06  0.0172
   4.9808E-06   6.1703E-06   1.8494E-06  0.0166
   6.1703E-06   7.6440E-06   1.8087E-06  0.0179
   7.6440E-06   9.4696E-06   1.8627E-06  0.0168
   9.4696E-06   1.1731E-05   1.9165E-06  0.0166
   1.1731E-05   1.4533E-05   1.9164E-06  0.0168
   1.4533E-05   1.8004E-05   1.9806E-06  0.0170
   1.8004E-05   2.2303E-05   1.9592E-06  0.0164
   2.2303E-05   2.7630E-05   2.0554E-06  0.0169
   2.7630E-05   3.4229E-05   2.0664E-06  0.0171
   3.4229E-05   4.2403E-05   2.0762E-06  0.0172
   4.2403E-05   5.2531E-05   2.0590E-06  0.0161
   5.2531E-05   6.5076E-05   2.1118E-06  0.0163
   6.5076E-05   8.0618E-05   2.1347E-06  0.0149
   8.0618E-05   9.9872E-05   2.1561E-06  0.0163
   9.9872E-05   1.2372E-04   2.2185E-06  0.0151
   1.2372E-04   1.5327E-04   2.2129E-06  0.0132
   1.5327E-04   1.8988E-04   2.2808E-06  0.0144
   1.8988E-04   2.3523E-04   2.3740E-06  0.0134
   2.3523E-04   2.9140E-04   2.3241E-06  0.0132
   2.9140E-04   3.6100E-04   2.3400E-06  0.0123
   3.6100E-04   4.4721E-04   2.3632E-06  0.0114
   4.4721E-04   5.5402E-04   2.4538E-06  0.0111
   5.5402E-04   6.8633E-04   2.4790E-06  0.0096
   6.8633E-04   8.5025E-04   2.5111E-06  0.0078
   8.5025E-04   1.0533E-03   2.5714E-06  0.0046
   1.0533E-03   1.3049E-03   2.6077E-06  0.0030
